time,direction,vehicle
2025-09-25 17:17:22,East,bus
2025-09-25 17:17:22,East,motorbike
2025-09-25 17:17:22,East,motorbike
2025-09-25 17:17:22,East,motorbike
2025-09-25 17:17:22,East,motorbike
2025-09-25 17:17:23,South,bus
2025-09-25 17:17:23,South,car
2025-09-25 17:17:23,South,car
2025-09-25 17:17:23,South,car
2025-09-25 17:17:23,South,truck
2025-09-25 17:17:23,South,car
2025-09-25 17:17:23,South,car
2025-09-25 17:17:23,South,car
2025-09-25 17:17:23,South,motorbike
2025-09-25 17:17:24,South,bus
2025-09-25 17:17:24,South,car
2025-09-25 17:17:24,South,car
2025-09-25 17:17:24,South,car
2025-09-25 17:17:24,South,truck
2025-09-25 17:17:24,South,car
2025-09-25 17:17:24,South,car
2025-09-25 17:17:24,South,motorbike
2025-09-25 17:17:24,South,car
2025-09-25 17:17:24,South,motorbike
2025-09-25 17:17:24,South,motorbike
2025-09-25 17:17:25,South,bus
2025-09-25 17:17:25,South,car
2025-09-25 17:17:25,South,car
2025-09-25 17:17:25,South,car
2025-09-25 17:17:25,South,truck
2025-09-25 17:17:25,South,car
2025-09-25 17:17:25,South,car
2025-09-25 17:17:25,South,motorbike
2025-09-25 17:17:25,South,car
2025-09-25 17:17:25,South,car
2025-09-25 17:17:25,South,car
2025-09-25 17:17:25,South,motorbike
2025-09-25 17:17:25,South,motorbike
2025-09-25 17:17:26,South,bus
2025-09-25 17:17:26,South,car
2025-09-25 17:17:26,South,car
2025-09-25 17:17:26,South,car
2025-09-25 17:17:26,South,car
2025-09-25 17:17:26,South,car
2025-09-25 17:17:26,South,car
2025-09-25 17:17:26,South,car
2025-09-25 17:17:26,South,car
2025-09-25 17:17:26,South,motorbike
2025-09-25 17:17:26,South,motorbike
2025-09-25 17:17:27,South,bus
2025-09-25 17:17:27,South,car
2025-09-25 17:17:27,South,car
2025-09-25 17:17:27,South,car
2025-09-25 17:17:27,South,car
2025-09-25 17:17:27,South,car
2025-09-25 17:17:27,South,car
2025-09-25 17:17:27,South,car
2025-09-25 17:17:27,South,car
2025-09-25 17:17:27,South,motorbike
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,truck
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,motorbike
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,car
2025-09-25 17:17:29,West,motorbike
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,truck
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,motorbike
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,car
2025-09-25 17:17:30,West,motorbike
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,truck
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,motorbike
2025-09-25 17:17:31,West,car
2025-09-25 17:17:31,West,motorbike
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,truck
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,motorbike
2025-09-25 17:17:32,West,car
2025-09-25 17:17:32,West,motorbike
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,truck
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,motorbike
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,car
2025-09-25 17:17:33,West,motorbike
2025-09-25 17:17:34,North,car
2025-09-25 17:17:34,North,bus
